,P_STATUS,P_YEAR,P_PERIOD,P_PERIOD_ERROR_MIN,P_PERIOD_ERROR_MAX,S_RA,S_DEC,S_MAG,S_DISTANCE,S_DISTANCE_ERROR_MIN,S_DISTANCE_ERROR_MAX,S_MASS,S_RADIUS,S_RADIUS_ERROR_MIN,S_RADIUS_ERROR_MAX,S_TEMPERATURE,S_TEMPERATURE_ERROR_MIN,S_TEMPERATURE_ERROR_MAX,S_LOG_G,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,S_RADIUS_EST,S_RA_H,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_HABITABLE,P_ESI,P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST
1597,3.0,2015.0,572.3847,-0.00567,0.00583,297.04542,46.328701,13.955,1670.88,-48.28,48.28,0.98,1.03,-0.12,0.12,6065.0,-180.0,155.0,4.42,1.3398113,1.3398113,1.3398113,1.3398113,0.71647172,0.71647172,0.71647172,234.39302,234.39302,234.39302,1.03,19.803029,1.2861343,0.83637102,1.9568703,1.0593591,1.8552912,1.1199369,1.8552912,1.0225619,1.8552912,3.0620123,0.45824016,1.0,1.0,0.0,0.53083582,4.5961,19.128815,1.3398113
1598,3.0,2014.0,13.7813,-0.0001,0.0001,290.38155,43.292973,12.925,66.99,-0.11,0.11,0.52,0.44,-0.02,0.02,3841.0,-49.0,49.0,4.89,0.090442133,0.090442133,0.090442133,0.090442136,4.6156156,4.6156156,4.6156156,373.42408,373.42408,373.42408,0.44,19.358771,0.037754718,0.15810336,0.40336234,0.20026206,0.38241935,0.21222925,0.38241935,0.19331857,0.38241935,0.52462549,0.37098149,0.0,0.0,0.0,0.54023493,1.19947,1.9705336,0.090442133
1599,3.0,2012.0,4.46563,-4e-06,4e-06,203.75811,-17.503464,11.8,299.97,-3.94,3.94,1.11,1.09,-0.11,0.11,5900.0,-100.0,100.0,4.3,0.05493794,0.05493794,0.05493794,0.054937941,427.3709,427.3709,427.3709,1158.3669,1158.3669,1158.3669,1.09,13.583875,1.2898811,0.84605908,1.9870922,1.0716351,1.8839442,1.1330714,1.8839442,1.0344383,1.8839442,3.0664693,0.47766724,0.0,0.0,0.0,0.063233638,14.9093,193.87508,0.05493794
1600,3.0,2016.0,21.416169,-8.095e-05,8.095e-05,294.0291,39.051846,13.542,797.0,-52.97,70.01,1.16,1.22,-0.08,0.11,6206.0,-58.72,68.1,4.33,0.15854654,0.15854654,0.15854654,0.15854654,78.694047,78.694047,78.694047,758.80534,758.80534,758.80534,1.22,19.601941,1.9781326,1.02838,2.3991525,1.3025553,2.2746152,1.3768855,2.2746152,1.2572823,2.2746152,3.7974448,0.44160786,0.0,0.0,0.0,0.26545689,2.11869,5.1366839,0.15854654
1601,3.0,2016.0,9.9314356,-5.945e-05,5.945e-05,291.49943,37.059283,15.214,1199.0,-128.59,315.69,1.04,1.04,-0.1,0.28,5849.0,-158.12,106.52,4.42,0.091592945,0.091592945,0.091592945,0.091592948,135.19411,135.19411,135.19411,868.72906,868.72906,868.72906,1.04,19.433296,1.1341795,0.79581248,1.871457,1.0079932,1.7743115,1.0658282,1.7743115,0.97301306,1.7743115,2.8754424,0.45796788,0.0,0.0,0.0,0.25632036,2.16353,5.3226161,0.091592945
1602,3.0,2016.0,49.101351,-0.0001876,0.0001876,283.5967,45.407879,15.041,894.0,-65.54,103.42,0.91,0.88,-0.06,0.1,5518.0,-57.64,61.16,4.52,0.25424495,0.25424495,0.25424495,0.25424496,9.951215,9.951215,9.951215,452.49516,452.49516,452.49516,0.88,18.906447,0.64325145,0.61118649,1.4507709,0.77414883,1.3754624,0.81881826,1.3754624,0.74731877,1.3754624,2.1654799,0.44492815,0.0,0.0,0.0,0.34324882,2.5783,7.1688075,0.25424495
1603,3.0,2016.0,16.358306,-0.0001024,0.0001024,295.37738,39.048031,12.683,730.0,-128.32,148.03,1.36,1.72,-0.31,0.35,6161.0,-96.56,92.38,4.1,0.13969518,0.13969518,0.13969518,0.13969518,195.69853,195.69853,195.69853,952.88787,952.88787,952.88787,1.72,19.691826,3.8190063,1.4328105,3.3456426,1.8148128,3.1719739,1.9184425,3.1719739,1.7517478,3.1719739,5.2764152,0.46913005,0.0,0.0,0.0,0.26732843,1.88328,4.2056823,0.13969518
1604,3.0,2018.0,2429.5402760266675,-566.4259149999999,2840.240489999999,269.64967,-28.133669,16.56419000000001,4530.0,-980.0,1040.0,0.76,1.5094000000000003,-0.3106000000000002,0.5547999999999997,5067.14,-218.8659999999999,218.43720000000005,4.080899999999999,3.45,3.45,3.45,3.4500001,100.67865583999996,97.16944768000005,111.25396609999996,796.3615432999997,799.2064349,827.2985048999998,1.5091000000000006,17.976645,1.7384564829999996,1.0098762349999997,2.391037166000001,1.2793424519999994,2.2672566109999988,1.3535004430000006,2.2662885679999984,1.2348448670000005,2.2662699579999988,3.560057154000002,0.42100668,0.0,0.0,0.0,0.13566606800000003,6.4494934,34.00124,3.45
1605,3.0,2014.0,29.221289,-0.00037,0.00037,290.67615,48.294289,15.587,1266.68,-111.53,111.53,0.8944000000000004,0.86,-0.17,0.17,5580.0,-131.0,131.0,4.5,0.176,0.176,0.176,0.176,20.739439,20.739439,20.739439,543.68101,543.68101,543.68101,0.86,19.378411,0.64242487,0.60860734,1.4419145,0.77088075,1.3670658,0.81531255,1.3670658,0.74415792,1.3670658,2.1640881,0.4441474778999998,0.0,0.0,0.0,0.32846842,1.77118,3.7895405,0.176
1606,3.0,2017.0,3.332609,-2e-06,2e-06,279.26239,40.018723,12.8,430.0,-35.0,35.0,1.34,1.73,-0.09,0.1,5914.0,-64.0,64.0,4.1,0.048001944,0.047568,0.048432,0.048000489,1423.7746,1398.4319,1449.694,1564.9433,1557.9562,1572.0415,1.73,18.617494,3.2802439,1.3480598,3.165034,1.7074784,3.0007402,1.8053456,3.0007402,1.6482077,3.0007402,4.8900898,0.49690088,0.0,0.0,0.0,0.053596395,17.3755,123.95292,0.048
1607,3.0,2016.0,80.872064,-0.0001727,0.0001727,287.1543,41.565788,15.201,1061.0,-86.23,161.82,0.98,0.96,-0.07,0.15,5692.0,-115.63,77.65,4.47,0.36345498,0.36345498,0.36345498,0.36345499,6.5612931,6.5612931,6.5612931,407.7484,407.7484,407.7484,0.96,19.143621,0.86674367,0.70227791,1.6584364,0.88952411,1.5723484,0.94069487,1.5723484,0.85867516,1.5723484,2.5136749,0.45433944,0.0,0.0,0.0,0.27531129,5.98614,29.958656,0.36345498
1608,3.0,2016.0,11.046034,-6.6e-05,6.6e-05,298.11477,48.494404,14.681,1219.0,-159.1,467.51,1.15,1.21,-0.15,0.47,6113.0,-172.0,132.9,4.33,0.10167474,0.10167474,0.10167474,0.10167475,177.19473,177.19473,177.19473,929.51758,929.51758,929.51758,1.21,19.874319,1.8317954,0.99522701,2.3261671,1.2605666,2.2054182,1.3325985,2.2054182,1.2167711,2.2054182,3.6542837,0.45060078,0.0,0.0,0.0,0.24964174,2.25321,5.702589,0.10167474
1609,3.0,2009.0,835.477,-6.04,6.04,189.81152,-7.995564,4.66,100.98,-1.97,1.97,2.17,20.9,-1.1,1.1,4445.0,-70.0,70.0,2.1,2.3683851,1.15132,3.12868,2.2015531,37.616286,15.607954,115.25935,603.66695,506.38567,834.76447,20.9,12.654102,152.78062,9.9031271,24.52964,12.543857,23.256221,13.283667,23.256221,12.109737,23.256221,33.373205,0.45919662,0.0,0.0,0.0,0.099289411,12.383705,3524.7126,2.14
1610,3.0,2016.0,6.9131112,-0.00014,0.00014,286.58059,48.544197,12.788,675.0,-77.28,138.3,1.25,1.42,-0.16,0.29,6335.0,-69.44,73.18,4.23,0.076488344,0.076488344,0.076488344,0.076488346,497.34906,497.34906,497.34906,1203.1236,1203.1236,1203.1236,1.42,19.105374,2.9097241,1.237583,2.8803647,1.5675281,2.7308484,1.6568161,2.7308484,1.5130146,2.7308484,4.6056367,0.45612474,0.0,0.0,0.0,0.29527014,0.93043,0.75050199,0.076488344
1611,3.0,2011.0,157.57001,-0.65,0.65,173.76564,20.441545,6.45,137.72,-0.9,0.9,2.28,10.06,-0.86,0.86,4891.0,-46.0,46.0,2.79,0.682754,0.6188,0.7412,0.68069036,112.67394,94.450538,135.51103,828.77937,794.22951,869.23774,10.06,11.584377,51.888995,5.6708226,13.771461,7.1829474,13.056574,7.6025276,13.056574,6.9343785,13.056574,19.449185,0.60719671,0.0,0.0,0.0,0.075885647,13.48116,511.70308,0.68
